action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,MW,AlogP,HBA,HBD,PSA
,,191437,[],CHEMBL677389,Inhibition of the phosphorylation of a random polyglutamic acid/tyrosine copolymer by human epidermal growth factor receptor(EGFR) prepared from human A431 carcinoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130030,J Med Chem,1997,,,CHEMBL35820,,CHEMBL35820,11.221848749616356,1,http://www.openphacts.org/units/Nanomolar,60204,=,1,1,=,,IC50,nM,,0.006,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.006,388.26500000000016,4.933300000000004,5,1,56.27000000000001
,,126489,[],CHEMBL680030,Tested for inhibition of PLC gamma-derived substrate in Epidermal growth factor receptor stimulated A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130057,J Med Chem,1997,,,CHEMBL53711,,CHEMBL53711,11.221848749616356,1,http://www.openphacts.org/units/Nanomolar,89165,=,1,1,=,,IC50,nM,,0.006,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.006,344.216,3.5969000000000015,5,1,53.94
,,144689,[],CHEMBL680030,Tested for inhibition of PLC gamma-derived substrate in Epidermal growth factor receptor stimulated A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130057,J Med Chem,1997,,,CHEMBL53753,,CHEMBL53753,11.096910013008056,1,http://www.openphacts.org/units/Nanomolar,89166,=,1,1,=,,IC50,nM,,0.008,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.008,330.189,3.572600000000002,5,2,62.730000000000004
,,428391,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1132555,J Med Chem,1999,,,CHEMBL66031,,CHEMBL66031,11.096910013008056,1,http://www.openphacts.org/units/Nanomolar,296407,=,1,1,=,,IC50,nM,,0.008,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.008,340.184,4.012200000000001,4,2,66.49000000000001
,,395224,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,,,CHEMBL1132555,J Med Chem,1999,"{'bei': '29.43', 'le': '0.66', 'lle': '6.45', 'sei': '18.84'}",,CHEMBL29197,,CHEMBL29197,10.6,1,http://www.openphacts.org/units/Nanomolar,296408,=,1,1,=,,IC50,nM,,0.025,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.025,360.2110000000001,4.153100000000003,5,1,56.27000000000001
,,376356,[],CHEMBL677387,Inhibition of phosphorylation of polyglutamic acid/tyrosine random copolymer by epidermal growth factor receptor.,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,,,CHEMBL1130246,J Med Chem,1997,"{'bei': '29.18', 'le': '0.65', 'lle': '6.45', 'sei': '18.62'}",,CHEMBL53428,,CHEMBL53428,10.05,1,http://www.openphacts.org/units/Nanomolar,243801,=,1,1,=,,IC50,nM,,0.09,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.09,344.216,3.5969000000000015,5,1,53.940000000000005
,,367865,[],CHEMBL677387,Inhibition of phosphorylation of polyglutamic acid/tyrosine random copolymer by epidermal growth factor receptor.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,,,CHEMBL1130246,J Med Chem,1997,"{'bei': '31.73', 'le': '0.72', 'lle': '6.28', 'sei': '15.67'}",,CHEMBL420624,,CHEMBL420624,10.0,1,http://www.openphacts.org/units/Nanomolar,243805,=,1,1,=,,IC50,nM,,0.1,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.1,315.17400000000004,3.7181000000000015,4,2,63.83
,,130239,[],CHEMBL680030,Tested for inhibition of PLC gamma-derived substrate in Epidermal growth factor receptor stimulated A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,,CHEMBL1130057,J Med Chem,1997,,,CHEMBL51853,,CHEMBL51853,9.89,1,http://www.openphacts.org/units/Nanomolar,89167,=,1,1,=,,IC50,nM,,0.13,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.13,316.16200000000003,3.113100000000001,5,2,76.72
,,360722,[],CHEMBL677387,Inhibition of phosphorylation of polyglutamic acid/tyrosine random copolymer by epidermal growth factor receptor.,B,,,BAO_0000190,BAO_0000357,single protein format,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,,,CHEMBL1130246,J Med Chem,1997,"{'bei': '29.94', 'le': '0.68', 'lle': '6.32', 'sei': '15.76'}",,CHEMBL54400,,CHEMBL54400,9.89,1,http://www.openphacts.org/units/Nanomolar,243802,=,1,1,=,,IC50,nM,,0.13,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,0.13,330.1890000000001,3.5726000000000013,5,2,62.730000000000004
,,117213,[],CHEMBL673925,Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme (from human A431 carcinoma cell vesicles),B,,,BAO_0000190,BAO_0000357,single protein format,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,,CHEMBL1134843,J Med Chem,2001,"{'bei': '25.43', 'le': '0.56', 'lle': '6.09', 'sei': '13.76'}",,CHEMBL334697,,CHEMBL334697,9.77,0,http://www.openphacts.org/units/Nanomolar,265488,=,1,1,=,,IC50,nM,,0.17,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50 app,nM,UO_0000065,,0.17,384.2370000000001,3.679700000000002,5,1,71.01
